Plant treatment,Light,Replicates,Shoot height (cm)
Undamaged,Low,1,114.5
Undamaged,Low,2,117.9
Undamaged,Low,3,109
Undamaged,Low,4,92
Undamaged,Medium,1,125
Undamaged,Medium,2,141.7
Undamaged,Medium,3,116.1
Undamaged,Medium,4,110.7
Undamaged,Hight,1,125
Undamaged,Hight,2,123
Undamaged,Hight,3,124.2
Undamaged,Hight,4,116
Simulated grazed,Low,1,50
Simulated grazed,Low,2,41
Simulated grazed,Low,3,45
Simulated grazed,Low,4,44
Simulated grazed,Medium,1,118
Simulated grazed,Medium,2,113.5
Simulated grazed,Medium,3,110
Simulated grazed,Medium,4,75
Simulated grazed,Hight,1,89.3
Simulated grazed,Hight,2,85.5
Simulated grazed,Hight,3,108
Simulated grazed,Hight,4,92.5
